Debug started. Hold Nav (x3y4) for 5 seconds.
   elapsed  type  name                 scan=       
------------------------------------------------------------
    4.0150  down  ctrl                 scan=29    
    4.0150  down  skift                scan=42    
    4.0150  down  alt                  scan=56    
    4.0150  down  f13                  scan=100   
    4.0620    up  ctrl                 scan=29    
    4.0620    up  skift                scan=42    
    4.0620    up  alt                  scan=56    
    4.0620    up  f13                  scan=100   
    9.9690  down  ctrl                 scan=29    
    9.9690  down  skift                scan=42    
    9.9690  down  alt                  scan=56    
    9.9690  down  f14                  scan=101   
    9.9690    up  ctrl                 scan=29    
    9.9690    up  skift                scan=42    
    9.9690    up  alt                  scan=56    
    9.9690    up  f14                  scan=101   
   10.4060  down  d                    scan=32    
   10.5000  down  i                    scan=23    
   10.5150    up  d                    scan=32    
   10.6400    up  i                    scan=23    
   10.7810  down  n                    scan=49    
   10.8750    up  n                    scan=49    
   10.9370  down  e                    scan=18    
   11.0000    up  e                    scan=18    
   11.2500  down  backspace            scan=14    
   11.3120    up  backspace            scan=14    
   11.4060  down  backspace            scan=14    
   11.4840    up  backspace            scan=14    
   11.5470  down  backspace            scan=14    
   11.6400    up  backspace            scan=14    
   11.9060  down  o                    scan=24    
   12.0150    up  o                    scan=24    
   12.1400  down  n                    scan=49    
   12.2340    up  n                    scan=49    
   12.2340  down  e                    scan=18    
   12.3120    up  e                    scan=18    
   12.5000  down  enter                scan=28    
   12.5780    up  enter                scan=28    
